Utterance,Accept,Reject,Inquire,Random
Do they offer international dishes?,0,0,1,0
Can you give me a recommendation in Edmonton,0,0,0,0
What are the comparative points for both?,0,0,1,0
Is there a waiting area?,0,0,1,0
Which is more favorably reviewed?,0,0,1,0
Do they offer takeout or delivery?,0,0,1,0
Which one has a better atmosphere?,0,0,1,0
How do they hold up in comparison?,0,0,1,0
Are there any notable awards they've won?,0,0,1,0
Can you tell me which one has better reviews?,0,0,1,0
Are there vegan options available?,0,0,1,0
Are they vegetarian-friendly?,0,0,1,0
Do they have any vegetarian main courses?,0,0,1,0
Can you book online?,0,0,1,0
What's your side-by-side comparison?,0,0,1,0
Are there any ongoing promotions?,0,0,1,0
Thanks.,1,0,0,0
Let's go.,1,0,0,0
Do they have any signature cocktails?,0,0,1,0
How do these compare in taste?,0,0,1,0
What's the differential in terms of quality?,0,0,1,0
How's their coffee?,0,0,1,0
I don't like the reputation that place has.,0,1,0,0
Which one is more budget-friendly?,0,0,1,0
Can you delineate the differences?,0,0,1,0
How's the service typically?,0,0,1,0
Is there a dress code?,0,0,1,0
How do the two contrast in terms of service?,0,0,1,0
What sets these apart?,0,0,1,0
Do they have a private dining room?,0,0,1,0
Do they offer gluten-free desserts?,0,0,1,0
I'm in.,1,0,0,0
"Let's try something else, I don't want to go there.",0,1,0,0
Menu please,0,0,1,0
I don't like the menu options there.,0,1,0,0
Do you have access to their full menu?,0,0,1,0
Thanks you,1,0,0,0
Can you specify the distinctions?,0,0,1,0
Thanks,1,0,0,0
Which is the more satisfying option?,0,0,1,0
Do they have vegetarian options?,0,0,1,0
Is there any membership or loyalty perks?,0,0,1,0
Excellent choice,1,0,0,0
Can you book online?,0,0,1,0
I don't like the portion sizes at that place.,0,1,0,0
How does the first one compare to the second?,0,0,1,0
"I'm up for that, let's go.",1,0,0,0
Is there a wait usually?,0,0,1,0
Is it easily accessible?,0,0,1,0
Can you pit them against each other?,0,0,1,0
Can you give me some recommendation in Edmonton,0,0,0,0
What are the distinctions between these two?,0,0,1,0
What's their most popular dish?,0,0,1,0
"Let's give it a shot, I'm in.",1,0,0,0
Sounds good,1,0,0,0
I don't like the parking situation at that restaurant.,0,1,0,0
Are there any signature mocktails?,0,0,1,0
How's the service?,0,0,1,0
Can you point out the disparities between them?,0,0,1,0
"Sure, let's go with that.",1,0,0,0
Can you analyze the differences between them?,0,0,1,0
How expensive is it?,0,0,1,0
Is there a view or any scenic spots nearby?,0,0,1,0
"Your suggestions are always spot on, I'm in.",1,0,0,0
Can I pre-order?,0,0,1,0
What type of cuisine do they serve?,0,0,1,0
New york,0,0,0,0
Sure,1,0,0,0
Is there parking available?,0,0,1,0
What's their cancellation policy?,0,0,1,0
How does each fare in terms of reputation?,0,0,1,0
I don't like the area that restaurant is in.,0,1,0,0
That's not quite what I had in mind.,0,1,0,0
Is it easy to get a taxi or Uber from there?,0,0,1,0
How's their coffee and tea selection?,0,0,1,0
Do they have a full bar?,0,0,1,0
Can you summarize the differences?,0,0,1,0
How do the two contrast in terms of flavor?,0,0,1,0
What's the distinction in terms of atmosphere?,0,0,1,0
Which one should be our top choice?,0,0,1,0
"No thanks, that's not what I'm in the mood for.",0,1,0,0
What's the average waiting time?,0,0,1,0
Are they currently offering any specials?,0,0,1,0
How's the air conditioning or heating?,0,0,1,0
Do they have live music?,0,0,1,0
What are the contrasts between the two?,0,0,1,0
Let's make a reservation there.,1,0,0,0
Do they have vegan options?,0,0,1,0
Do they serve local wines?,0,0,1,0
Are gift cards available?,0,0,1,0
Do they use MSG in their dishes?,0,0,1,0
Can you explain the differences?,0,0,1,0
I don't like the chef's choices there.,0,1,0,0
Can you illustrate the differences?,0,0,1,0
Is it easy to get a taxi or Uber from there?,0,0,1,0
What's their specialty dish?,0,0,1,0
What sets each one apart from the other?,0,0,1,0
What's the average waiting time?,0,0,1,0
Is it a family-owned place?,0,0,1,0
I don't like the long drive to get to that place.,0,1,0,0
Is there a view?,0,0,1,0
How do they compare in terms of ambiance?,0,0,1,0
Are they environmentally conscious?,0,0,1,0
Is it suitable for business dinners?,0,0,1,0
I don't like their food presentation.,0,1,0,0
Do they offer any international dishes?,0,0,1,0
"No, that place doesn't appeal to me.",0,1,0,0
What's the ambiance like?,0,0,1,0
How far is it from here?,0,0,1,0
How's the ambiance there?,0,0,1,0
What's the difference between them?,0,0,1,0
Can you assess the differences?,0,0,1,0
Can you evaluate the differences?,0,0,1,0
What's the average price for a meal?,0,0,1,0
How do these two options stack up against each other?,0,0,1,0
Good call,1,0,0,0
Can you provide an insight into the differences?,0,0,1,0
What types of payment do they accept?,0,0,1,0
Do they offer breakfast or brunch?,0,0,1,0
How do these rank against each other?,0,0,1,0
Do they offer set menus or group menus?,0,0,1,0
"I don't like something, give me another recommendation",0,1,0,0
"Great idea, I'll try it.",1,0,0,0
I'm not interested in that option.,0,1,0,0
Tell me pro and con of both options,0,0,1,0
What's their soup of the day?,0,0,1,0
Which one aligns more with my preferences?,0,0,1,0
Which has the more unique menu?,0,0,1,0
Do they focus on any specific cooking techniques?,0,0,1,0
"Sounds appealing, let's try it.",1,0,0,0
Are they seafood-heavy?,0,0,1,0
Are there any low-carb or keto options?,0,0,1,0
I don't like that place's ambiance.,0,1,0,0
Give me another recommendation,0,1,0,0
"No, that place just won't do for me.",0,1,0,0
Can you contrast the two places?,0,0,1,0
Do they have a bar area?,0,0,1,0
I don't like the service at that restaurant.,0,1,0,0
Can I see the menu?,0,0,1,0
What are their hours?,0,0,1,0
What food do they serve?,0,0,1,0
Ok,1,0,0,0
I want some place to eat in Toronto,0,0,0,0
List pro and con of each,0,0,1,0
Do they source locally?,0,0,1,0
